,Vehicle_ID,Frame_ID,Global_X,Global_Y,Global_Time_New
32910,739,1768,6451140.629,1873325.314,71557
226676,739,1772,6451150.009,1873314.925,71561
41672,739,1788,6451183.31,1873278.297,71577
330955,739,1805,6451216.377,1873243.325,71594
318848,739,1843,6451307.599,1873149.573,71632
373331,739,1846,6451316.448,1873141.099,71635
136614,739,1853,6451338.444,1873119.924,71642
328262,739,1856,6451348.173,1873110.565,71645
222978,739,1869,6451392.474,1873067.928,71658
464262,739,3002,6451138.34,1873343.499,81422
464263,739,3002,6451138.34,1873343.499,81422
154305,739,3010,6451141.029,1873340.537,81430
154306,739,3010,6451141.029,1873340.537,81430
232793,739,3013,6451142.037,1873339.427,81433
232794,739,3013,6451142.037,1873339.427,81433
251422,739,3015,6451142.709,1873338.686,81435
251423,739,3015,6451142.709,1873338.686,81435
114242,739,3024,6451146.742,1873334.244,81444
114241,739,3024,6451146.742,1873334.244,81444
113787,739,3025,6451147.414,1873333.503,81445
113786,739,3025,6451147.414,1873333.503,81445
230286,739,3029,6451150.469,1873330.194,81449
230287,739,3029,6451150.469,1873330.194,81449
256878,739,3062,6451184.748,1873292.433,81482
256877,739,3062,6451184.748,1873292.433,81482
375747,739,3068,6451192.754,1873283.502,81488
375748,739,3068,6451192.754,1873283.502,81488
162879,739,3069,6451193.966,1873282.144,81489
162878,739,3069,6451193.966,1873282.144,81489
397114,739,3080,6451205.188,1873269.805,81500
397113,739,3080,6451205.188,1873269.805,81500
354481,739,3103,6451215.219,1873258.812,81523
354480,739,3103,6451215.219,1873258.812,81523
186968,739,3111,6451215.513,1873258.323,81531
186967,739,3111,6451215.513,1873258.323,81531
450363,739,3127,6451215.513,1873258.323,81547
450362,739,3127,6451215.513,1873258.323,81547
41100,739,3136,6451215.513,1873258.323,81556
41099,739,3136,6451215.513,1873258.323,81556
245429,739,3139,6451215.513,1873258.323,81559
245430,739,3139,6451215.513,1873258.323,81559
107150,739,3146,6451215.513,1873258.323,81566
107149,739,3146,6451215.513,1873258.323,81566
225059,739,3147,6451215.513,1873258.323,81567
225060,739,3147,6451215.513,1873258.323,81567
279548,739,3153,6451215.513,1873258.323,81573
279549,739,3153,6451215.513,1873258.323,81573
483843,739,3160,6451215.513,1873258.323,81580
483842,739,3160,6451215.513,1873258.323,81580
250781,739,3165,6451215.513,1873258.323,81585
250780,739,3165,6451215.513,1873258.323,81585
95510,739,3166,6451215.513,1873258.323,81586
95509,739,3166,6451215.513,1873258.323,81586
84837,739,3171,6451215.513,1873258.323,81591
84838,739,3171,6451215.513,1873258.323,81591
53492,739,3174,6451215.513,1873258.323,81594
53493,739,3174,6451215.513,1873258.323,81594
280169,739,3195,6451215.513,1873258.323,81615
280170,739,3195,6451215.513,1873258.323,81615
455023,739,3197,6451215.513,1873258.323,81617
455024,739,3197,6451215.513,1873258.323,81617
407224,739,3199,6451215.513,1873258.323,81619
407225,739,3199,6451215.513,1873258.323,81619
232884,739,3209,6451215.513,1873258.323,81629
232885,739,3209,6451215.513,1873258.323,81629
496913,739,3230,6451215.973,1873257.981,81650
496912,739,3230,6451215.973,1873257.981,81650
485607,739,3250,6451215.973,1873257.981,81670
485608,739,3250,6451215.973,1873257.981,81670
382289,739,3252,6451215.973,1873257.981,81672
382288,739,3252,6451215.973,1873257.981,81672
33447,739,3257,6451215.973,1873257.981,81677
33448,739,3257,6451215.973,1873257.981,81677
86408,739,3259,6451215.973,1873257.981,81679
86409,739,3259,6451215.973,1873257.981,81679
244164,739,3267,6451217.317,1873256.5,81687
244165,739,3267,6451217.317,1873256.5,81687
249535,739,3276,6451220.322,1873253.19,81696
249534,739,3276,6451220.322,1873253.19,81696
202466,739,3284,6451227.887,1873244.841,81704
202467,739,3284,6451227.887,1873244.841,81704
455760,739,3311,6451269.533,1873203.105,81731
455759,739,3311,6451269.533,1873203.105,81731
73888,739,3315,6451274.971,1873197.454,81735
73887,739,3315,6451274.971,1873197.454,81735
161025,739,3324,6451289.541,1873181.423,81744
161026,739,3324,6451289.541,1873181.423,81744
105850,739,3342,6451330.488,1873142.163,81762
105851,739,3342,6451330.488,1873142.163,81762
254244,739,3353,6451354.4,1873119.16,81773
254245,739,3353,6451354.4,1873119.16,81773
65647,739,3356,6451360.469,1873113.267,81776
65646,739,3356,6451360.469,1873113.267,81776
239382,739,3357,6451362.328,1873111.534,81777
239381,739,3357,6451362.328,1873111.534,81777
65501,739,3365,6451376.72,1873097.689,81785
65500,739,3365,6451376.72,1873097.689,81785
377835,739,3367,6451380.324,1873094.223,81787
377836,739,3367,6451380.324,1873094.223,81787
195597,739,3369,6451383.927,1873090.756,81789
195596,739,3369,6451383.927,1873090.756,81789
281903,739,3375,6451395.1,1873079.98,81795
281902,739,3375,6451395.1,1873079.98,81795
19345,739,3377,6451399.46,1873075.765,81797
19346,739,3377,6451399.46,1873075.765,81797
211489,739,3378,6451401.675,1873073.669,81798
211490,739,3378,6451401.675,1873073.669,81798
323734,739,3381,6451408.321,1873067.38,81801
323733,739,3381,6451408.321,1873067.38,81801
126080,739,3387,6451421.614,1873054.801,81807
126081,739,3387,6451421.614,1873054.801,81807
5026,739,3390,6451428.26,1873048.511,81810
5027,739,3390,6451428.26,1873048.511,81810
210857,739,3395,6451439.412,1873038.111,81815
210856,739,3395,6451439.412,1873038.111,81815
317394,739,3402,6451455.485,1873024.047,81822
317395,739,3402,6451455.485,1873024.047,81822
414125,739,3412,6451478.439,1873003.948,81832
414126,739,3412,6451478.439,1873003.948,81832
355335,739,3413,6451480.756,1873001.92,81833
355334,739,3413,6451480.756,1873001.92,81833
146179,739,3508,6451159.575,1873289.785,91078
233897,739,3520,6451187.775,1873258.665,91090
283252,739,3521,6451190.01,1873256.207,91091
453075,739,3529,6451206.991,1873237.609,91099
399300,739,3530,6451209.14,1873235.265,91100
183202,739,3539,6451229.794,1873212.434,91109
257830,739,3556,6451269.829,1873168.604,91126
79585,739,3565,6451294.225,1873144.556,91135
120552,739,3576,6451324.291,1873115.861,91146
19440,739,3577,6451327.016,1873113.19,91147
376375,739,3578,6451329.741,1873110.519,91148
493031,739,3603,6451395.498,1873047.533,91173
429120,739,3606,6451403.376,1873040.155,91176
150089,739,3607,6451406.068,1873037.698,91177
484993,739,3608,6451408.765,1873035.242,91178
24567,739,3609,6451411.456,1873032.785,91179
442484,739,3617,6451432.987,1873013.13,91187
